Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3225575,2019-03-28 09:08:42,2019-06-13 19:23:50,50886104,3100812358,0,60,844,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225575,ERX3253027,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213578,SAMEA5408268,simple,9796,Equus caballus,SAMEA5408268,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,8AACABD5EF1A5F79A548706F8C3A963F,B147D4189ACD207864516FF1A812BBBF
ERR3225576,2019-03-28 09:08:42,2019-06-13 19:16:50,6393722,346183873,0,54,109,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225576,ERX3253028,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213579,SAMEA5408269,simple,9796,Equus caballus,SAMEA5408269,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,E7911A4E252B437DD106F6D3296AF7FA,6DB4259A5A6FF7EFDF96FA0888043634
ERR3225577,2019-03-28 09:08:42,2019-06-13 19:14:16,683418,37950973,0,55,13,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225577,ERX3253029,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213580,SAMEA5408270,simple,9796,Equus caballus,SAMEA5408270,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,B37A8A32FB147D015E65F984A37FE1C9,DA6ED74E0B71B6B5230C9FAE18B36158
ERR3225578,2019-03-28 09:08:42,2019-06-13 19:20:56,28205451,2123648520,0,75,572,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR3225/ERR3225578,ERX3253030,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213581,SAMEA5408271,simple,9796,Equus caballus,SAMEA5408271,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,5A848A8DA1144A3C183796070551A62D,32C7C34971D1EC274BE4CFDFC544AD93
ERR3225579,2019-03-28 09:08:42,2019-06-12 18:46:51,211591179,10994744327,0,51,3130,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225579,ERX3253031,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213582,SAMEA5408272,simple,9796,Equus caballus,SAMEA5408272,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,A93E97943143242C1013899A7F17DAFA,AD92B873B0A5E782FFB40B3F4C125353
ERR3225580,2019-03-28 09:08:42,2019-06-12 17:16:07,133715631,7786809139,0,58,2339,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225580,ERX3253032,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213583,SAMEA5408273,simple,9796,Equus caballus,SAMEA5408273,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,B821EB88F8EDE89E8324A0A6732B1B34,00A681D06C1F0174136D28717F239EF0
ERR3225581,2019-03-28 09:08:42,2019-06-13 19:30:05,76451270,3103705317,0,40,1063,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225581,ERX3253033,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213584,SAMEA5408274,simple,9796,Equus caballus,SAMEA5408274,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,2F65FB51FB3938430E417781AC0EB738,F913964AD98BB52E3404F160C8B7A611
ERR3225582,2019-03-28 09:08:42,2019-06-13 19:13:55,2021842,101365517,0,50,37,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225582,ERX3253034,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213585,SAMEA5408275,simple,9794,Equus hemionus,SAMEA5408275,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,B0C81BFAD8024FAA5142FA4AD493AC5D,4C89F3F01692B7DF77BF4263DC611F53
ERR3225583,2019-03-28 09:08:42,2019-06-13 19:14:32,3705602,173942775,0,46,59,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225583,ERX3253035,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213586,SAMEA5408276,simple,319699,Equus asinus x caballus,SAMEA5408276,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,5A6F94CA673AC5F535229D3FE3DF5E13,8912919115187581AC496EBC0EEF57A5
ERR3225584,2019-03-28 09:08:42,2019-06-13 19:13:45,3432724,183303893,0,53,61,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225584,ERX3253036,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213587,SAMEA5408277,simple,319699,Equus asinus x caballus,SAMEA5408277,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,3BD8A0C3E0190972B5793EC8766AC7EE,9AA7C43CC4B4C217C270F393B174A69C
ERR3225585,2019-03-28 09:08:42,2019-06-13 19:12:55,546800,32285211,0,59,12,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225585,ERX3253037,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213588,SAMEA5408278,simple,319699,Equus asinus x caballus,SAMEA5408278,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,C7BB4A6A447FD5CFD02B549201EA8B2A,35FD0C0155211353F12842600FFC58A0
ERR3225586,2019-03-28 09:08:42,2019-06-12 16:20:23,136058415,7654388112,0,56,2258,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225586,ERX3253038,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213589,SAMEA5408279,simple,9796,Equus caballus,SAMEA5408279,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,B2595D086766B6660BA8724D89A21C94,B8ACF54736DEB02FBF48A5F83385DF57
ERR3225587,2019-03-28 09:08:42,2019-06-13 19:15:04,1616065,88953377,0,55,30,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225587,ERX3253039,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213590,SAMEA5408280,simple,9796,Equus caballus,SAMEA5408280,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,8B05593D86E6D295D8B39E476C04B585,5DC2D551E9E1B17825824C8565C3D758
ERR3225588,2019-03-28 09:08:42,2019-06-13 19:13:15,1811061,109199482,0,60,36,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225588,ERX3253040,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213591,SAMEA5408281,simple,319699,Equus asinus x caballus,SAMEA5408281,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,6C2F2D0A5559EAB810FF7A8D8B8CFBAA,66274A89942F91889FBB75D42E49F0A4
ERR3225589,2019-03-28 09:08:42,2019-06-13 19:13:08,929407,43462974,0,46,16,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225589,ERX3253041,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213592,SAMEA5408282,simple,9796,Equus caballus,SAMEA5408282,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,859774CED92D572B8B25D2B9F740E639,27FD030826BBC5AE1DF01AE1961A377C
ERR3225590,2019-03-28 09:08:42,2019-06-13 19:23:05,46903425,2559368377,0,54,669,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225590,ERX3253042,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213593,SAMEA5408283,simple,9796,Equus caballus,SAMEA5408283,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,DD90D8FD601C58775C26FC5F502649DF,785F430759AFEDEB1C030743D0AB438A
ERR3225591,2019-03-28 09:08:42,2019-06-13 19:15:04,1380840,81232154,0,58,25,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225591,ERX3253043,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213594,SAMEA5408284,simple,9796,Equus caballus,SAMEA5408284,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,BE665E54FA8D26835F72A58224176DFD,D738ACD3B8155AE3BCDA075A24B12580
ERR3225592,2019-03-28 09:08:42,2019-06-13 19:14:58,654780,37170857,0,56,13,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225592,ERX3253044,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213595,SAMEA5408285,simple,9796,Equus caballus,SAMEA5408285,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,DE7EE5DD4D07BE47B28F411287220CE5,7FC443AB49A17409572455016222AE40
ERR3225593,2019-03-28 09:08:42,2019-06-12 23:17:11,344924111,17127222058,0,49,5366,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era8/ERR/ERR3225/ERR3225593,ERX3253045,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213596,SAMEA5408286,simple,9796,Equus caballus,SAMEA5408286,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,F828A354DD5495744BC71078F4C03DA4,D919539856EE7C65744D4AEDB12A39B2
ERR3225594,2019-03-28 09:08:42,2019-06-13 19:15:47,3843064,234998208,0,61,68,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225594,ERX3253046,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213597,SAMEA5408287,simple,9796,Equus caballus,SAMEA5408287,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,71C8EF80FF564D17AB3DE9C0613A08CB,216678DBC023BE00DD66C78555A8FA6B
ERR3225595,2019-03-28 09:08:42,2019-06-13 19:16:27,8266810,474927274,0,57,137,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225595,ERX3253047,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213598,SAMEA5408288,simple,9796,Equus caballus,SAMEA5408288,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,00D109EE3EA327E681826C6FA11551A7,F747695F75612838F9B3EE0780B53586
ERR3225596,2019-03-28 09:08:42,2019-06-13 19:14:46,671155,40066855,0,59,12,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era3/ERR/ERR3225/ERR3225596,ERX3253048,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213599,SAMEA5408289,simple,9796,Equus caballus,SAMEA5408289,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,7403E8050A8DE8289D61306EE7DCA66F,037394A8EA055F99104B89FA5005D25B
ERR3225597,2019-03-28 09:08:42,2019-06-13 19:14:39,1640830,94166514,0,57,25,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225597,ERX3253049,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213600,SAMEA5408290,simple,9796,Equus caballus,SAMEA5408290,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,DEC04BE96B3CE7E87B9A0D592E511A53,8105490BB5ED9956362CF780E088EBC4
ERR3225598,2019-03-28 09:08:42,2019-06-13 19:14:00,3023001,193240095,0,63,51,EQUCAB2,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225598,ERX3253050,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213601,SAMEA5408291,simple,9793,Equus asinus,SAMEA5408291,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,1F1C50D188854E26E927E82258B7265E,889428EF064A1EF389DE8A2B2E23B3FA
ERR3225599,2019-03-28 09:08:42,2019-06-13 19:14:12,551805,29763200,0,53,11,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225599,ERX3253051,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213602,SAMEA5408292,simple,9796,Equus caballus,SAMEA5408292,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,63ECA9CE5BBBB54EE20D557A582F4673,7A81B31CB7AD9E0A5DFCB1F6B5B78B9C
ERR3225600,2019-03-28 09:08:42,2019-06-12 21:46:13,263491013,18411563069,1001330,69,4672,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225600,ERX3253052,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213603,SAMEA5408293,simple,9796,Equus caballus,SAMEA5408293,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,FAF838A92AE3E6B5B9B8384090E0AE38,F87E1A9F617B7DAAA1E2B07DBDA56041
ERR3225601,2019-03-28 09:08:42,2019-06-12 17:51:30,178347141,12132153044,590345,68,3163,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225601,ERX3253053,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213604,SAMEA5408294,simple,9796,Equus caballus,SAMEA5408294,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,7AACE5A6B14EEB0F0A474ACA6EA0A631,2BABF17B1DA5D81AE329714C6F5E0385
ERR3225602,2019-03-28 09:08:42,2019-06-12 18:09:42,196253238,12413404598,610608,63,3445,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225602,ERX3253054,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213605,SAMEA5408295,simple,9796,Equus caballus,SAMEA5408295,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,5C6BB9712A238B7C143FA73EE52B1AF0,688C8F08B3E95D3AF9384FD5BD64C6D9
ERR3225603,2019-03-28 09:08:42,2019-06-13 19:15:53,6563938,303641615,0,46,103,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225603,ERX3253055,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213606,SAMEA5408296,simple,9796,Equus caballus,SAMEA5408296,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,AFA2292CD6B7A5A53A51C1D8E002BCA3,1EC2E2F8F755F883818E3D34477A5EE0
ERR3225604,2019-03-28 09:08:42,2019-06-13 19:13:53,1124603,45429146,0,40,19,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225604,ERX3253056,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213607,SAMEA5408297,simple,9796,Equus caballus,SAMEA5408297,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,E05C7D535406B72AFB9050C195CFAAC6,B9112492F77744EC521E9E850D3F9FC5
ERR3225605,2019-03-28 09:08:42,2019-06-13 19:14:00,754766,35168199,0,46,14,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225605,ERX3253057,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213608,SAMEA5408298,simple,9796,Equus caballus,SAMEA5408298,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,7A3E16ED6371C3DC55DC44A8BD96B98E,B727D6718200F79CA64083C04D6C3B15
ERR3225606,2019-03-28 09:08:42,2019-06-13 19:14:22,499323,24474490,0,49,10,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225606,ERX3253058,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213609,SAMEA5408299,simple,9796,Equus caballus,SAMEA5408299,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,A2EB4C48D2D04A85A98A9651252DEC34,D6D7B92D07DF7072346DAF5C540C5028
ERR3225607,2019-03-28 09:08:42,2019-06-13 19:14:41,2626640,130104517,0,49,46,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225607,ERX3253059,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213610,SAMEA5408300,simple,9796,Equus caballus,SAMEA5408300,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,7BBFBED2A75D1B28A108FB635C786DF0,7CAF80F193603B43787FB3DEADF6B0F4
ERR3225608,2019-03-28 09:08:42,2019-06-13 19:15:39,1117518,52008914,0,46,20,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era5/ERR/ERR3225/ERR3225608,ERX3253060,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213611,SAMEA5408301,simple,9796,Equus caballus,SAMEA5408301,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,1F19D921536A1D71791E351319A1C320,7213012256D93F86BEB8BF447C5E1EB4
